Time [s],Surface component 1.min(d)Y [mm],Surface component 1.max(d)Y [mm]
76.000000,5.294578,5.974173
77.000000,5.174048,5.955810
78.000000,5.254344,6.028153
79.000000,5.269894,6.069823
80.000000,5.363492,6.128110
81.000000,5.432721,6.181139
82.000000,5.447251,6.168308
83.000000,5.466020,6.217558
84.000000,5.546281,6.232513
85.000000,5.658217,6.435790
86.000000,5.572228,6.267313
87.000000,5.773911,6.476001
88.000000,5.643805,6.323668
89.000000,5.730723,6.346730
90.000000,5.748455,6.465981
91.000000,5.926518,6.572803
92.000000,5.961541,6.607120
93.000000,5.902642,6.560542
94.000000,6.037118,6.811589
95.000000,6.016011,6.716508
96.000000,6.003289,6.705596
97.000000,6.084368,6.783944
98.000000,6.269473,6.982674
99.000000,6.110808,6.791068
100.000000,6.229717,6.969192
101.000000,6.355252,6.927169
102.000000,6.339724,6.986894
103.000000,6.328804,6.944591
104.000000,6.460190,7.096324
105.000000,6.362104,6.987768
106.000000,6.314845,6.997774
107.000000,6.417613,7.076965
108.000000,6.527833,7.125786
109.000000,6.441375,7.041327
110.000000,6.508766,7.083707
111.000000,6.525805,7.200408
112.000000,6.465398,7.113236
113.000000,6.572022,7.329255
114.000000,6.519862,7.385187
115.000000,6.680356,7.326220
116.000000,6.683207,7.361801
117.000000,7.001956,7.547941
118.000000,6.585763,7.230360
119.000000,6.474337,7.121560
120.000000,6.796225,7.371031
121.000000,6.627013,7.273895
122.000000,6.303277,6.862884
123.000000,6.713069,7.393291
124.000000,6.627611,7.342887
125.000000,6.947237,7.554169
126.000000,6.913848,7.615383
127.000000,7.008206,7.592816
128.000000,6.918427,7.589704
129.000000,7.004584,7.633133
130.000000,7.036178,7.642976
131.000000,7.103338,7.752160
132.000000,7.069249,7.683920
133.000000,7.021449,7.648019
134.000000,7.155738,7.755856
135.000000,7.222825,7.870311
136.000000,7.211118,7.909638
137.000000,7.247136,7.831965
138.000000,7.323577,7.899230
139.000000,7.235736,7.925790
140.000000,7.231058,7.932670
141.000000,7.116215,7.719607
142.000000,7.465836,8.113263
143.000000,7.119685,7.863897
144.000000,7.521735,8.189332
145.000000,7.200401,7.843770
146.000000,7.260373,7.898838
147.000000,7.016479,7.675646
148.000000,7.123251,7.795295
149.000000,7.314128,7.855171
150.000000,7.428681,7.934899
151.000000,7.392611,7.799551
152.000000,7.267869,7.770140
153.000000,7.331738,7.934354
154.000000,7.196192,7.794511
155.000000,7.069026,7.679479
156.000000,7.435412,7.953173
157.000000,7.395015,7.911353
158.000000,7.319536,7.804421
159.000000,7.477940,8.110302
160.000000,7.444386,7.999442
161.000000,7.491081,8.081050
162.000000,7.244373,7.929153
163.000000,7.614233,8.302649
164.000000,7.663510,8.338618
165.000000,7.679020,8.453464
166.000000,7.569746,8.473153
167.000000,7.576018,8.470163
168.000000,7.501359,8.375591
169.000000,7.551190,8.512607
170.000000,7.520845,8.491230
171.000000,7.503473,8.527115
172.000000,7.288032,8.453531
173.000000,7.227912,8.422967
174.000000,7.269757,8.452276
175.000000,7.032934,8.311811
176.000000,7.343551,8.590478
177.000000,7.512599,8.845894
178.000000,7.301998,8.692712
179.000000,7.261624,8.713346
180.000000,7.340055,8.813591
181.000000,7.398643,8.719665
182.000000,7.335626,8.824503
183.000000,7.270444,8.838137
184.000000,7.308702,8.922249
185.000000,7.318547,8.906578
186.000000,7.243963,8.863242
187.000000,7.169226,8.862844
188.000000,7.213336,8.940485
189.000000,7.147225,8.860608
190.000000,7.064545,8.843456
191.000000,7.209503,8.896781
192.000000,6.858227,8.944382
193.000000,6.284422,8.856835
194.000000,-3.441907,-2.542037
195.000000,1.694553,2.214544
